Justin Mallari,10.01,r U' R' U' x' D' R2 U' R' U R U2 y' L' U L y U R U' R' y R U2' R' U' L U' L' U R U' R' r' U' R U' R' U R U' R' U2 r U2' R2 u R' U R' U' R u' R2 y L' U L U',CFOP,54,5.39,59,5.89,5
Justin Mallari,9.86,D2 U L R' U2' x' y' R U2' R' U2' y R U R' y U R' U' R U' y U' R' U R R U R' U' y' R U R' U' R' U R U' R' U R U2' R' U R U2' r' U' R U' R' U R U' R' U2 r U2' R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R,CFOP,71,7.20,77,7.81,6
Justin Mallari,10.30,U' x' U' R' F B' D' y' U' R U' R' U R' U' R D U' R U' R' D' U' L' U L y2' U2 R U' R' y U R U' R' U' R U R' R' U' R U' R' U2 R U2' R' U' R y R2 u R' U R U' R u' R2' U',CFOP,57,5.53,62,6.02,5
Justin Mallari,10.42,U x' D' r R' U' x' U' R U' R' D2 y' U' R' U R U2' R U' R' U' L U L' U2' R U2 R' U' R U R' U L' U L U' L' U L r U R' U R U' R' U R U2' r' U' R' U2' R U2' R' F R U R' U' R' F' R2 U,CFOP,64,6.14,67,6.43,3
Justin Mallari,12.44,U r U R' x' y R2 D' L' U L U' R U R' U2' R U' R' y U' R U' R' U y L' U L y U' R U R' y' U2 R U' R' U' F' U' F y U R U' R' U R U' R' U2 R U' R' x U R' U' l U R U R' U' R U' R' U R' U' R y R2 u R' U R U' R u' R2' U',CFOP,75,6.03,84,6.75,9
Richard Jay S. Apagar,10.38,U' r' R U x' R2 u' L' U2 L d' U' L' U' L R U R' U R U' R' y3 U2 L' U' L U' y L U L' U' R' U R U' y U' R U R' U R U' R' r' U r2 U' r2' U' r2 U r' U' y' x R' U R' D2 R U' R' D2 R l U,CFOP,63,6.07,69,6.65,6
Richard Jay S. Apagar,11.07,R U' D x' L2 l2' y' U' L U2 L' U' L U L' U R U2' R' U' R U R' R' U' R U' L' U L y' L U L' d' L' U' L U2' L' U L U R U R' U R U' R' U' R' F R F' F R U' R' U' R U R' F' R U R' U' R' F R F',CFOP,69,6.23,72,6.50,3
Richard Jay S. Apagar,8.48,R' U y' R' F D L U' L2' U L R' U' R U' y R U' R' U R U' R' y' R U2' R' U R U' R' y R' U' R U' F (U R U' R')2 F' U R U R' F' R U R' U' R' F R2 U' R' U',CFOP,53,6.25,57,6.72,4
Richard Jay S. Apagar,11.77,L M' U D x' D' L y L' U L U' L U L' L' U L U' R' U' R U' L' U L d' L' U L U' R U' R' U R U' R' U R U' R' R U R' y R' F R U' R' F' R U2' R2' F2 R U2 R U2' R' F R U R' U' R' F R2 U',CFOP,67,5.69,70,5.95,3
Richard Jay S. Apagar,9.43,U r u' R' F R' L' U L L' U2 L2 U L2' U L R U' R2' U2 R U' y L' U L y U2' L' U L U2' L' U L U' F (R U R' U')2 F' y' R' U R' U' R' U' R' U R U R2,CFOP,51,5.41,54,5.73,3
